source,case,region,time_min,precipitated_area_norm,precipitated_area_cm2,note
Zhang2010,experiment_25mM,zhang_upgradient,13,0.3833,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_upgradient,18,0.3208,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_upgradient,118,0.2250,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_middle,13,0.5333,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_middle,18,0.5750,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_middle,118,0.2083,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_downgradient,13,0.7333,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_downgradient,18,0.8750,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Zhang2010,experiment_25mM,zhang_downgradient,118,0.4000,NaN,digitized_approx|Zhang2010_SI_FigS3b|Omega_c_over_Omega_v_4p6_3p9|pixel_units|norm_by_axis_12000|linear_interp_to_target_time
Yoon2012,case_1,entire_domain,13,NaN,3.62e-4,digitized_approx|Yoon2012_Fig4a|Case1_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_1,entire_domain,18,NaN,3.64e-4,digitized_approx|Yoon2012_Fig4a|Case1_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_1,entire_domain,118,NaN,3.66e-4,digitized_approx|Yoon2012_Fig4a|Case1_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,entire_domain,13,NaN,3.45e-4,digitized_approx|Yoon2012_Fig7a|Case5_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,entire_domain,18,NaN,3.05e-4,digitized_approx|Yoon2012_Fig7a|Case5_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,entire_domain,118,NaN,1.75e-4,digitized_approx|Yoon2012_Fig7a|Case5_entire_domain|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,first_pore,13,NaN,1.10e-4,digitized_approx|Yoon2012_Fig7a|Case5_first_pore|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,first_pore,18,NaN,9.50e-5,digitized_approx|Yoon2012_Fig7a|Case5_first_pore|um2_to_cm2|linear_interp_to_target_time
Yoon2012,case_5,first_pore,118,NaN,5.60e-5,digitized_approx|Yoon2012_Fig7a|Case5_first_pore|um2_to_cm2|linear_interp_to_target_time
